RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
148,0,34587,Chan Kim,-0.351,-20.002,57
149,0,48117,Kurt Kitayama,-0.353,-20.463,58
150,0,39546,Keith Mitchell,-0.356,-23.844,67
151,0,28420,Ryan Brehm,-0.360,-14.044,39
152,0,40115,Adam Svensson,-0.392,-33.349,85
153,0,26476,Chez Reavie,-0.404,-18.978,47
154,0,30926,Chris Kirk,-0.408,-25.285,62
155,0,60067,Joe Highsmith,-0.427,-18.380,43
156,0,38991,Alejandro Tosti,-0.432,-21.583,50
157,0,27064,Jhonattan Vegas,-0.433,-21.204,49
158,0,33448,Justin Thomas,-0.499,-27.927,56
159,0,45242,Kevin Yu,-0.500,-26.524,53
160,0,36326,David Lipsky,-0.514,-25.689,50
161,0,46340,Alex Smalley,-0.533,-24.513,46
162,0,26596,Ryan Moore,-0.539,-30.709,57
163,0,34076,Joel Dahmen,-0.624,-36.822,59
164,0,51890,Greyson Sigg,-0.629,-34.568,55
165,0,48699,Callum Tarren,-0.653,-30.702,47
166,0,48319,Tom Whitney,-0.656,-26.912,41
167,0,40026,Daniel Berger,-0.679,-30.540,45
168,0,55454,Carl Yuan,-0.834,-37.534,45
169,0,51070,Vincent Norrman,-0.954,-43.863,46
