RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
110,0,59095,Chris Gotterup,71.131,4490,62.38,64
111,0,49947,Taylor Moore,71.132,5715,46.666,81
112,0,50188,S.H. Kim,71.145,5906,70.191,84
113,0,48867,Matti Schmid,71.149,4428,54.381,63
114,0,59866,Nick Dunlap,71.225,4724,48.1,67
115,0,45157,Cam Davis,71.246,5501,56.222,78
116,0,26476,Chez Reavie,71.249,3937,52.93,56
117,0,25493,Nick Taylor,71.251,5082,48.036,72
118,0,59836,Pierceson Coody,71.254,4559,72.529,65
119,0,35310,Lanto Griffin,71.255,3927,63.303,56
120,0,39977,Max Homa,71.273,5317,28.438,75
121,0,26596,Ryan Moore,71.288,4298,50.542,61
122,0,47983,Chad Ramey,71.289,4432,59.19,63
123,0,32640,Troy Merritt,71.302,4418,74.003,63
124,0,52453,Nicolai Højgaard,71.31,4060,4.69,57
125,0,46441,Robby Shelton,71.311,4297,52.983,61
126,0,52372,Cameron Champ,71.314,3305,46.738,47
127,0,34076,Joel Dahmen,71.33,4988,76.425,71
128,0,59442,Parker Coody,71.334,4084,53.352,58
129,0,51349,Nico Echavarria,71.337,4767,83.929,68
130,0,36884,Ben Kohles,71.35,4862,61.128,69
131,0,27936,Martin Laird,71.355,3871,53.525,55
132,0,22371,Aaron Baddeley,71.384,4223,60.065,60
132,0,60067,Joe Highsmith,71.384,3799,55.736,54
134,0,33486,Roger Sloan,71.397,3722,62.054,53
135,0,31323,Gary Woodland,71.398,4700,12.241,66
136,0,52374,Brandon Wu,71.401,4510,59.652,64
137,0,37275,Sam Ryder,71.408,4290,65.912,61
138,0,51894,Vince Whaley,71.44,3651,63.872,52
139,0,36871,Matt NeSmith,71.457,4365,65.344,62
140,0,34466,Peter Malnati,71.473,4824,36.134,68
141,0,32070,Rafael Campos,71.476,3245,42.892,46
142,0,47988,Nick Hardy,71.504,4864,69.783,69
143,0,50493,Justin Suh,71.529,4160,60.196,59
144,0,27214,Kevin Streelman,71.572,3808,56.914,54
