RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
147,0,22405,Justin Rose,-0.373,-19.795,53
148,0,54421,Garrick Higgo,-0.386,-20.081,52
149,0,35461,Beau Hossler,-0.396,-24.941,63
150,0,55708,Hayden Buckley,-0.401,-21.269,53
151,0,47995,Davis Riley,-0.411,-24.242,59
152,0,47983,Chad Ramey,-0.414,-22.745,55
153,0,27936,Martin Laird,-0.441,-20.741,47
154,0,47663,Kevin Dougherty,-0.447,-19.217,43
155,0,59095,Chris Gotterup,-0.459,-25.685,56
156,0,50497,Adrien Dumont de Chassart,-0.480,-22.537,47
157,0,47347,Adam Schenk,-0.482,-32.784,68
158,0,32333,Kevin Tway,-0.499,-17.974,36
159,0,33408,Tyson Alexander,-0.515,-25.737,50
160,0,45609,Tyler Duncan,-0.521,-23.461,45
161,0,28420,Ryan Brehm,-0.526,-20.503,39
162,0,34374,Erik Barnes,-0.535,-19.792,37
163,0,50188,S.H. Kim,-0.597,-43.585,73
164,0,50493,Justin Suh,-0.640,-32.615,51
165,0,38991,Alejandro Tosti,-0.744,-37.206,50
166,0,48119,Ben Taylor,-0.782,-35.192,45
167,0,27649,Brandt Snedeker,-0.784,-36.854,47
168,0,52372,Cameron Champ,-0.834,-34.180,41
169,0,37212,Paul Barjon,-0.968,-33.894,35
