PLAYER,AVG_Birdies,# OF BIRDIES,AVG_Driv,TOTAL DISTANCE,TOTAL DRIVES,RANK,Avg Score,TOTAL STROKES,TOTAL ADJUSTMENT,AVG_SG:Tot,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,AVG_SGAppr,TOTAL SG:APP,MEASURED ROUNDS_SGAppr,%_GIReg,GREENS HIT,# HOLES,RELATIVE/PAR,AVG_PUT,TOTAL SG:PUTTING,MEASURED ROUNDS_PUT,%_Scram,PAR OR BETTER,MISSED GIR,%_Driv_Acc,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Overall_Acc,AVG_SG_Driv
Vincent Norrman,4.0,340,311.0,30476,98,81,70.755,5947,67.196,0.24,15.627,34.015,-18.384,65,-0.313,-14.375,46,0.6825,602,882,-0.19,-0.954,-43.863,46,51.79%,145,280,0.5785,682,1179,0.39482625,0.5233076923076924
Nick Taylor,4.0,372,291.3,40199,138,40,70.309,6496,42.725,0.67,50.234,32.138,18.099,75,0.236,15.08,64,0.6312,784,1242,-0.27,0.021,1.36,64,60.70%,278,458,0.5849,754,1289,0.36918888,0.42850666666666665
Justin Thomas,4.0,288,309.8,39034,126,58,70.52,5067,10.468,0.836,56.039,66.859,-10.816,67,0.541,30.314,56,0.6473,734,1134,-0.3,-0.499,-27.927,56,61.00%,244,400,0.5519,553,1002,0.35724486999999994,0.9978955223880597
Patton Kizzire,3.99,399,300.9,27380,91,127,71.319,7021,110.864,-0.38,-31.507,-21.865,-9.638,83,0.491,19.635,40,0.721,597,828,-0.3,-0.197,-7.875,40,60.61%,140,231,0.5794,810,1398,0.4177474,-0.263433734939759
Matti Schmid,3.99,315,306.1,36427,119,165,71.751,5576,92.354,-0.18,-9.338,-13.033,3.698,52,-0.078,-3.985,51,0.6823999999999999,737,1080,-0.29,0.058,2.947,51,58.02%,199,343,0.5992999999999999,661,1103,0.4089623199999999,-0.2506346153846154
Byeong Hun An,3.98,418,317.1,47570,150,38,70.244,7323,52.578,0.698,62.135,79.384,-17.247,89,0.181,11.925,66,0.6762999999999999,913,1350,-0.32,-0.079,-5.24,66,58.35%,255,437,0.5217,758,1453,0.35282570999999996,0.8919550561797753
Russell Henley,3.98,334,291.3,42534,146,16,69.759,5822,37.771,0.882,64.369,73.219,-8.849,73,0.343,21.925,64,0.6498999999999999,854,1314,-0.31,0.304,19.447,64,65.00%,299,460,0.7256999999999999,852,1174,0.4716324299999999,1.003
Justin Lower,3.98,434,295.6,44338,150,120,71.225,7661,102.531,-0.028,-2.201,-30.536,28.339,80,0.203,14.239,70,0.6896,931,1350,-0.28,0.359,25.151,70,57.52%,241,419,0.5937,903,1521,0.40941552,-0.38170000000000004
Brandon Wu,3.98,458,294.1,35592,121,78,70.72,8025,107.822,0.107,9.108,22.824,-13.71,85,-0.011,-0.573,52,0.6629999999999999,728,1098,-0.28,-0.038,-1.968,52,57.84%,214,370,0.6164000000000001,982,1593,0.4086732,0.2685176470588235
Cam Davis,3.97,361,302.6,45388,150,31,70.175,6334,51.911,0.738,59.048,69.225,-10.173,80,-0.046,-3.195,70,0.6378,861,1350,-0.31,-0.184,-12.873,70,57.67%,282,489,0.5539000000000001,699,1262,0.35327742000000006,0.8653124999999999
J.T. Poston,3.97,397,291.9,44953,154,34,70.202,6963,57.208,0.647,55.667,21.712,33.958,86,-0.126,-8.809,70,0.6479,898,1386,-0.3,0.184,12.872,70,59.22%,289,488,0.6047,843,1394,0.39178513000000004,0.25246511627906976
Corey Conners,3.95,340,301.2,52414,174,29,70.144,5996,36.419,0.918,68.872,79.099,-10.226,75,0.776,60.501,78,0.7031000000000001,1101,1566,-0.3,-0.168,-13.114,78,56.56%,263,465,0.614,738,1202,0.4317034,1.0546533333333334
Tommy Fleetwood,3.95,292,300.4,42662,142,7,69.248,5132,-7.649,1.699,105.308,74.738,30.574,62,0.099,6.309,64,0.6729,860,1278,-0.28,0.04,2.574,64,66.03%,276,418,0.6182,633,1024,0.41598678,1.2054516129032258
Garrick Higgo,3.94,406,308.5,36398,118,110,71.095,7252,70.77,0.221,19.911,10.823,9.094,90,-0.386,-20.081,52,0.6581999999999999,699,1062,-0.3,0.227,11.811,52,57.85%,210,363,0.5726,820,1432,0.3768853199999999,0.12025555555555556
Adam Svensson,3.94,481,297.4,51739,174,54,70.471,8507,90.454,0.758,78.036,55.695,22.347,103,0.322,27.395,85,0.6628000000000001,1038,1566,-0.26,-0.392,-33.349,85,61.55%,325,528,0.6378,1083,1698,0.4227338400000001,0.5407281553398058
Nick Hardy,3.93,464,303.2,41535,137,77,70.694,8255,86.883,0.144,12.841,8.613,4.236,89,0.188,12.198,65,0.6981,867,1242,-0.27,-0.195,-12.651,65,56.80%,213,375,0.5728,940,1641,0.39987168,0.0967752808988764
Luke List,3.93,393,301.9,34421,114,102,70.981,7017,81.104,0.164,13.589,65.287,-51.694,83,-0.023,-1.167,51,0.6647,682,1026,-0.29,-0.075,-3.811,51,56.10%,193,344,0.5447,755,1386,0.36206208999999995,0.7865903614457832
Emiliano Grillo,3.91,442,292.3,47355,162,67,70.579,7925,50.473,0.266,23.431,18.584,4.853,88,0.257,18.728,73,0.6557,956,1458,-0.28,0.057,4.189,73,56.97%,286,502,0.6135,962,1568,0.40227195,0.21118181818181817
Davis Riley,3.9,398,302.8,36940,122,107,71.038,7191,54.893,-0.112,-8.54,1.612,-10.145,76,-0.411,-24.242,59,0.6420999999999999,705,1098,-0.3,0.242,14.289,59,58.52%,230,393,0.5892000000000001,829,1407,0.37832531999999996,0.021210526315789475
Davis Thompson,3.9,374,305.8,50143,164,90,70.855,6719,83.098,0.157,13.677,26.923,-13.243,87,0.277,20.198,73,0.6801999999999999,1004,1476,-0.3,0.086,6.263,73,59.96%,283,472,0.6039,808,1338,0.41077277999999995,0.3094597701149425
Joseph Bramlett,3.89,311,309.3,37121,120,68,70.58,5600,46.425,0.454,30.876,51.061,-20.182,68,-0.003,-0.196,57,0.6843,739,1080,-0.27,-0.253,-14.418,57,60.70%,207,341,0.5186,573,1105,0.35487798,0.7508970588235294
Adam Hadwin,3.89,342,297.6,43454,146,44,70.36,6143,48.655,0.709,57.448,21.432,36.022,81,-0.039,-2.576,66,0.6446,847,1314,-0.3,0.087,5.71,66,56.10%,262,467,0.6338,777,1226,0.40854747999999996,0.2645925925925926
Beau Hossler,3.89,428,299.3,38903,130,46,70.398,7669,74.794,0.45,39.626,19.918,19.713,88,-0.396,-24.941,63,0.6769,792,1170,-0.3,0.451,28.385,63,61.11%,231,378,0.5765,878,1523,0.39023284999999996,0.2263409090909091
Chad Ramey,3.89,393,293.0,35160,120,130,71.368,7112,96.213,-0.016,-1.426,-29.584,28.162,89,-0.414,-22.745,55,0.6602,713,1080,-0.28,0.351,19.322,55,59.40%,218,367,0.6089,858,1409,0.40199578,-0.33240449438202246
Brian Harman,3.88,361,293.5,48729,166,21,69.978,6443,64.96,0.68,53.696,22.176,31.522,79,0.328,24.898,76,0.6533,976,1494,-0.31,0.28,21.25,76,61.58%,319,518,0.6681999999999999,866,1296,0.4365350599999999,0.28070886075949364
Sepp Straka,3.88,357,294.9,44238,150,70,70.597,6461,33.939,0.474,36.464,19.838,16.629,77,0.287,18.632,65,0.6748000000000001,911,1350,-0.27,-0.034,-2.227,65,59.45%,261,439,0.6448999999999999,828,1284,0.43517852,0.25763636363636366
Denny McCarthy,3.87,387,291.3,48358,166,17,69.825,6942,40.467,1.004,88.327,24.649,63.682,88,-0.009,-0.673,76,0.6218,929,1494,-0.32,0.686,52.123,76,65.84%,372,565,0.615,853,1387,0.382407,0.2801022727272727
Keith Mitchell,3.87,364,311.1,42927,138,73,70.652,6598,43.313,0.483,35.72,31.747,3.976,74,0.669,44.829,67,0.7061,877,1242,-0.31,-0.356,-23.844,67,60.82%,222,365,0.6332,825,1303,0.44710251999999995,0.4290135135135135
Sam Burns,3.86,313,307.4,44884,146,37,70.233,5673,15.911,0.796,58.115,15.51,42.609,73,0.173,11.417,66,0.6469,850,1314,-0.37,0.496,32.716,66,60.78%,282,464,0.5661,638,1127,0.36621009000000004,0.21246575342465754
Matt Kuchar,3.85,350,288.3,32867,114,43,70.353,6338,64.134,0.567,44.774,33.314,11.463,79,-0.226,-12.636,56,0.6394,656,1026,-0.27,0.467,26.145,56,59.73%,221,370,0.6329,807,1275,0.40467626,0.4216962025316456
Seamus Power,3.85,316,298.7,46002,154,89,70.847,5764,45.417,-0.046,-2.968,-16.102,13.135,65,0.186,13.917,75,0.6709999999999999,930,1386,-0.28,-0.063,-4.713,75,63.60%,290,456,0.5875,675,1149,0.39421249999999997,-0.24772307692307693
Aaron Rai,3.85,404,293.8,50537,172,46,70.398,7325,66.78,0.615,53.524,76.325,-22.794,87,0.676,50.694,75,0.7158,1108,1548,-0.28,0.054,4.082,75,63.18%,278,440,0.6872,1002,1458,0.49189776,0.8772988505747127
Mark Hubbard,3.84,446,293.9,45261,154,65,70.561,8112,73.052,0.614,54.611,52.833,1.784,89,0.189,13.428,71,0.6638,920,1386,-0.3,0.025,1.764,71,60.52%,282,466,0.6123,987,1612,0.4064447399999999,0.593629213483146
S.H. Kim,3.84,426,303.1,49104,162,85,70.824,7798,63.444,0.466,45.237,18.25,26.992,97,-0.597,-43.585,73,0.6063000000000001,884,1458,-0.35,0.514,37.53,73,59.93%,344,574,0.5653,870,1539,0.34274139000000003,0.18814432989690721
Hideki Matsuyama,3.84,334,299.8,41966,140,32,70.181,6085,20.766,0.902,63.106,71.409,-8.302,70,0.492,29.527,60,0.6659,839,1260,-0.29,-0.082,-4.941,60,67.93%,286,421,0.5952000000000001,719,1208,0.3963436800000001,1.0201285714285715
J.J. Spaun,3.84,392,298.5,36423,122,51,70.424,7097,86.298,0.587,48.683,66.315,-17.628,83,0.502,29.59,59,0.6967,765,1098,-0.29,-0.006,-0.342,59,58.56%,195,333,0.6369,907,1424,0.44372823,0.7989759036144578
Cameron Champ,3.83,299,321.0,28246,88,135,71.445,5510,62.736,-0.453,-26.702,-8.313,-18.386,59,-0.834,-34.18,41,0.6705,531,792,-0.28,0.421,17.276,41,57.85%,151,261,0.5992999999999999,646,1078,0.40183064999999996,-0.14089830508474577
Ryan Moore,3.83,318,288.1,33418,116,112,71.115,5795,107.575,0.171,10.957,12.811,-1.852,64,0.431,24.543,57,0.6809999999999999,711,1044,-0.24,-0.539,-30.709,57,62.76%,209,333,0.7015,813,1159,0.47772149999999997,0.200171875
Tyler Duncan,3.82,359,295.3,30413,103,105,71.036,6587,90.355,-0.093,-7.322,0.92,-8.239,79,-0.521,-23.461,45,0.6751999999999999,632,936,-0.23,-0.346,-15.582,45,60.86%,185,304,0.6743000000000001,886,1314,0.45528736000000003,0.011645569620253165
Doug Ghim,3.81,354,294.4,38271,130,98,70.952,6497,101.512,0.297,21.948,38.09,-16.141,74,0.681,40.848,60,0.7051000000000001,825,1170,-0.27,-0.244,-14.64,60,61.74%,213,345,0.6785,880,1297,0.47841035000000004,0.5147297297297297
Si Woo Kim,3.81,381,294.9,48960,166,36,70.229,6991,31.857,0.676,58.131,84.625,-26.492,86,0.486,35.995,74,0.6486,969,1494,-0.3,-0.291,-21.513,74,63.62%,334,525,0.6779999999999999,941,1388,0.43975079999999994,0.9840116279069767
K.H. Lee,3.81,408,301.6,33777,112,75,70.679,7489,73.702,0.345,28.32,29.138,-0.813,82,-0.372,-18.959,51,0.6577,663,1008,-0.29,0.204,10.379,51,60.58%,209,345,0.5957,884,1484,0.39179189,0.3553414634146342
Jordan Spieth,3.81,274,306.9,42962,140,30,70.15,5049,1.803,0.71,44.006,38.704,5.302,62,-0.204,-12.862,63,0.6587000000000001,830,1260,-0.32,-0.006,-0.383,63,53.95%,232,430,0.5683,570,1003,0.37433921000000003,0.6242580645161291
Carson Young,3.8,376,296.2,35540,120,116,71.194,6949,99.191,-0.149,-11.138,-20.443,9.31,75,0.131,7.473,57,0.6843,739,1080,-0.28,0.006,0.36,57,57.18%,195,341,0.6557999999999999,905,1380,0.44876394,-0.27257333333333333
Callum Tarren,3.79,375,308.6,32092,104,118,71.203,6988,61.074,-0.061,-4.977,10.415,-15.387,82,-0.232,-10.906,47,0.6420999999999999,601,936,-0.25,-0.653,-30.702,47,52.84%,177,335,0.5069,698,1377,0.32548048999999996,0.12701219512195122
Mackenzie Hughes,3.78,336,298.1,49484,166,80,70.749,6244,52.705,0.201,14.269,-11.816,26.088,71,-0.275,-21.168,77,0.6238,932,1494,-0.32,0.651,50.112,77,65.30%,367,562,0.5535,683,1234,0.3452733,-0.16642253521126762
Aaron Baddeley,3.76,301,284.2,32402,114,74,70.659,5581,71.694,0.221,13.06,-9.57,22.63,59,-0.305,-15.844,52,0.616,632,1026,-0.3,0.722,37.542,52,67.26%,265,394,0.5725,636,1111,0.35266,-0.16220338983050847
Austin Eckroat,3.76,368,300.6,46888,156,76,70.692,6851,76.771,0.432,31.114,23.693,7.424,72,0.412,29.244,71,0.6446,905,1404,-0.29,-0.161,-11.397,71,55.91%,279,499,0.6431999999999999,869,1351,0.4146067199999999,0.32906944444444447
Martin Laird,3.76,331,289.4,29813,103,132,71.386,6192,89.958,-0.234,-15.896,-12.506,-3.387,68,-0.441,-20.741,47,0.6688,626,936,-0.26,0.269,12.633,47,62.26%,193,310,0.6579,804,1222,0.44000352,-0.18391176470588236
Peter Malnati,3.76,357,297.1,38621,130,146,71.53,6729,66.35,-0.182,-13.865,-47.017,33.158,76,-0.284,-17.325,61,0.6145,719,1170,-0.27,0.319,19.438,61,58.76%,265,451,0.5163,683,1323,0.31726635000000003,-0.6186447368421053
Troy Merritt,3.76,346,292.7,35128,120,162,71.685,6501,94.004,-0.324,-22.694,7.355,-30.047,70,0.23,11.738,51,0.6565000000000001,709,1080,-0.31,-0.151,-7.725,51,59.03%,219,371,0.6583,842,1279,0.43217395000000003,0.10507142857142858
Taylor Pendrith,3.75,371,312.5,44999,144,104,71.012,6965,65.16,0.195,15.621,17.71,-2.085,80,0.137,9.193,67,0.662,858,1296,-0.34,0.573,38.42,67,59.36%,260,438,0.5562,767,1379,0.36820440000000004,0.22137500000000002
Greyson Sigg,3.75,394,293.0,35159,120,83,70.788,7328,104.71,0.385,34.237,32.672,1.57,89,0.512,28.179,55,0.6990999999999999,755,1080,-0.21,-0.629,-34.568,55,63.38%,206,325,0.6143,900,1465,0.4294571299999999,0.36710112359550556
Matt Fitzpatrick,3.74,273,299.0,42456,142,25,70.079,5107,8.783,0.921,58.036,24.972,33.066,63,-0.122,-7.574,62,0.644,823,1278,-0.31,0.416,25.813,62,61.76%,281,455,0.5661,578,1021,0.3645684,0.3963809523809524
Chris Kirk,3.74,344,299.1,42467,142,49,70.417,6429,49.402,0.819,62.221,52.06,10.165,76,0.077,4.751,62,0.6502,831,1278,-0.29,-0.408,-25.285,62,59.73%,267,447,0.6135,789,1286,0.3988977,0.685
David Lipsky,3.73,384,288.5,30582,106,113,71.14,7259,68.467,-0.21,-16.995,20.785,-37.775,81,0.318,15.924,50,0.6770999999999999,646,954,-0.26,-0.514,-25.689,50,55.19%,170,308,0.6325,900,1423,0.42826574999999995,0.25660493827160497
Andrew Putnam,3.73,414,281.5,37725,134,27,70.118,7726,57.099,0.681,61.314,15.114,46.204,90,0.165,10.921,66,0.6866,828,1206,-0.26,0.279,18.435,66,63.23%,239,378,0.6445000000000001,988,1533,0.44251370000000007,0.16793333333333335
Alex Smalley,3.73,418,304.5,31670,104,62,70.556,7829,73.241,0.385,35.816,63.618,-27.795,93,-0.162,-7.468,46,0.688,644,936,-0.27,-0.533,-24.513,46,55.48%,162,292,0.5884,915,1555,0.4048192,0.6840645161290323
Zac Blair,3.72,290,281.1,33731,120,103,71.009,5477,61.663,0.05,3.166,2.924,0.245,63,-0.012,-0.71,59,0.6444,696,1080,-0.28,0.085,5.039,59,62.24%,239,384,0.6812,735,1079,0.43896528,0.04641269841269841
Robby Shelton,3.72,387,290.3,33672,116,106,71.037,7311,76.8,-0.076,-6.289,3.96,-10.245,83,-0.012,-0.675,57,0.6303,658,1044,-0.29,0.009,0.503,57,60.36%,233,386,0.5911,853,1443,0.37257032999999995,0.047710843373493975
Patrick Rodgers,3.71,378,306.4,47804,156,41,70.321,7137,35.723,0.493,41.37,27.817,13.559,84,-0.203,-15.422,76,0.6887000000000001,967,1404,-0.29,0.06,4.588,76,59.73%,261,437,0.5405,760,1406,0.37224235000000006,0.3311547619047619
Andrew Novak,3.69,351,299.5,38332,128,100,70.973,6661,81.418,0.314,21.336,13.47,7.868,68,0.474,29.882,63,0.7014,808,1152,-0.31,0.068,4.301,63,61.92%,213,344,0.5844,772,1321,0.40989816,0.19808823529411765
Charley Hoffman,3.68,298,303.4,33984,112,117,71.197,5694,72.953,-0.119,-6.89,21.235,-28.124,58,0.219,11.161,51,0.6587000000000001,664,1008,-0.31,-0.221,-11.284,51,58.72%,202,344,0.5567,623,1119,0.36669829000000004,0.3661206896551724
Adam Schenk,3.68,438,301.0,45752,152,45,70.368,8323,50.816,0.694,68.039,34.369,33.673,98,-0.482,-32.784,68,0.6476999999999999,886,1368,-0.28,0.014,0.985,68,59.54%,287,482,0.5525,911,1649,0.35785425,0.35070408163265304
Sam Stevens,3.68,390,307.1,45454,148,87,70.845,7455,54.599,0.154,12.802,38.865,-26.056,83,-0.294,-19.132,65,0.6884,917,1332,-0.28,0.282,18.315,65,63.37%,263,415,0.5575,819,1469,0.383783,0.4682530120481928
C.T. Pan,3.67,198,293.3,27571,94,91,70.857,3766,60.258,0.015,0.595,4.095,-3.497,39,0.168,7.574,45,0.6714,568,846,-0.26,-0.071,-3.203,45,61.51%,171,278,0.6145,459,747,0.41257530000000003,0.105
Gary Woodland,3.67,305,310.7,41008,132,60,70.542,5867,-11.983,0.358,26.493,68.512,-42.014,74,0.129,7.624,59,0.6431,764,1188,-0.28,-0.297,-17.552,59,51.18%,217,424,0.5822999999999999,665,1142,0.37447712999999994,0.9258378378378378
