PLAYER,AVG_Birdies,# OF BIRDIES,AVG_Driv,TOTAL DISTANCE,TOTAL DRIVES,RANK,Avg Score,TOTAL STROKES,TOTAL ADJUSTMENT,AVG_SG:Tot,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,AVG_SGAppr,TOTAL SG:APP,MEASURED ROUNDS_SGAppr,%_GIReg,GREENS HIT,# HOLES,RELATIVE/PAR,AVG_PUT,TOTAL SG:PUTTING,MEASURED ROUNDS_PUT,%_Scram,PAR OR BETTER,MISSED GIR,%_Driv_Acc,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Overall_Acc,AVG_SG_Driv
Ludvig Åberg,4.76,238,310.5,44086,142,12,69.603,3416,64.131,1.507,67.83,53.337,14.495,45,0.45,28.334,63,0.6768000000000001,865,1278,-0.33,0.151,9.519,63,64.16%,265,413,0.6547,457,698,0.44310096,1.1852666666666667
Patrick Cantlay,4.5,324,302.7,39356,130,6,69.19,4956,25.696,1.869,115.862,96.979,18.884,62,0.024,1.329,55,0.6308,738,1170,-0.32,0.234,12.868,55,63.89%,276,432,0.6551,659,1006,0.41323708000000003,1.5641774193548388
Viktor Hovland,4.41,388,305.1,34780,114,4,69.123,6065,17.843,1.648,115.375,98.851,16.527,70,0.458,23.83,52,0.6784,696,1026,-0.33,0.269,13.993,52,55.15%,182,330,0.637,779,1223,0.4321408,1.4121571428571429
Scottie Scheffler,4.41,388,303.8,43139,142,1,68.629,6007,32.329,2.314,171.199,193.486,-22.286,74,1.269,78.65,62,0.7315999999999999,935,1278,-0.37,0.095,5.864,62,66.18%,227,343,0.6209,760,1224,0.45425044,2.6146756756756755
Eric Cole,4.4,554,298.2,55472,186,15,69.757,8710,79.361,1.064,116.012,60.959,55.055,109,0.099,8.179,83,0.6164999999999999,1032,1674,-0.32,0.234,19.382,83,60.75%,390,642,0.5427000000000001,947,1745,0.33457455,0.559256880733945
Max Homa,4.34,373,300.6,45087,150,10,69.516,5951,27.401,1.638,126.105,78.996,47.109,77,0.158,10.29,65,0.6356,858,1350,-0.29,-0.073,-4.748,65,62.20%,306,492,0.6015,723,1202,0.3823134000000001,1.025922077922078
Cameron Young,4.34,373,308.9,50036,162,57,70.515,6008,56.311,0.333,22.311,41.546,-19.232,67,0.116,8.381,72,0.6618999999999999,965,1458,-0.3,-0.235,-16.891,72,59.03%,291,493,0.5905,711,1204,0.39085195,0.6200895522388059
Rory McIlroy,4.3,275,320.2,44183,138,2,68.777,4411,-9.244,2.102,121.93,112.411,9.52,58,0.26,16.1,62,0.657,816,1242,-0.33,0.173,10.748,62,64.08%,273,426,0.5325,475,892,0.3498525,1.9381206896551724
Adam Scott,4.29,292,307.1,43612,142,26,70.101,4747,19.898,0.927,48.209,24.201,24.009,52,0.114,7.041,62,0.6635,848,1278,-0.31,0.398,24.698,62,62.09%,267,430,0.5327000000000001,505,948,0.35344645,0.46540384615384617
Akshay Bhatia,4.25,357,299.8,51557,172,53,70.431,5836,80.235,0.241,13.994,43.283,-29.283,58,0.264,20.842,79,0.6602,1022,1548,-0.3,0.345,27.225,79,61.79%,325,526,0.6393,748,1170,0.42206586,0.7462586206896552
Tom Kim,4.22,380,298.7,46002,154,18,69.832,6225,59.837,0.949,72.125,63.396,8.732,76,0.261,18.279,70,0.6602,915,1386,-0.31,-0.072,-5.011,70,57.96%,273,471,0.6748999999999999,845,1252,0.44556897999999995,0.8341578947368421
Collin Morikawa,4.21,341,296.0,44399,150,8,69.429,5608,15.742,1.438,89.151,95.89,-6.736,62,0.283,18.399,65,0.6504000000000001,878,1350,-0.34,0.165,10.73,65,65.68%,310,472,0.6803,766,1126,0.44246712000000005,1.5466129032258065
Xander Schauffele,4.21,341,308.6,46296,150,5,69.127,5595,4.323,1.869,115.87,74.49,41.383,62,0.7,45.529,65,0.6962999999999999,940,1350,-0.34,0.546,35.519,65,70.49%,289,410,0.5746,643,1119,0.40009397999999996,1.2014516129032258
Sahith Theegala,4.21,446,306.1,54494,178,35,70.219,7409,34.265,0.788,67.801,26.136,41.668,86,0.284,23.029,81,0.6798000000000001,1089,1602,-0.31,0.311,25.182,81,60.82%,312,513,0.5285,779,1474,0.3592743,0.30390697674418604
Kevin Yu,4.21,299,309.4,35268,114,84,70.808,4941,86.354,0.236,11.343,49.918,-38.575,48,0.378,20.013,53,0.7056999999999999,724,1026,-0.25,-0.5,-26.524,53,58.61%,177,302,0.615,607,987,0.43400549999999993,1.0399583333333333
Sam Ryder,4.2,466,291.4,33224,114,63,70.559,7743,89.046,0.556,48.94,5.591,43.354,88,0.4,20.414,51,0.6735,691,1026,-0.32,-0.002,-0.082,51,55.52%,186,335,0.5708,879,1540,0.3844338,0.06353409090909092
Keegan Bradley,4.17,342,305.5,48263,158,24,70.05,5724,20.127,0.885,59.325,29.376,29.951,67,0.301,21.405,71,0.6709,954,1422,-0.3,-0.141,-10.045,71,56.41%,264,468,0.5849,668,1142,0.39240941,0.4384477611940299
Justin Suh,4.17,475,300.6,33666,112,72,70.646,7995,58.671,0.119,11.576,-39.739,51.322,97,-0.64,-32.615,51,0.6617000000000001,667,1008,-0.29,0.657,33.515,51,53.96%,184,341,0.6335000000000001,1001,1580,0.41918695000000006,-0.409680412371134
Rickie Fowler,4.16,399,297.7,38698,130,11,69.576,6660,19.289,1.426,115.492,91.981,23.514,81,-0.296,-16.558,56,0.6308,738,1170,-0.27,-0.043,-2.39,56,56.71%,245,432,0.5851,777,1328,0.36908108,1.1355679012345679
Tony Finau,4.15,349,308.4,48731,158,20,69.933,5840,34.407,1.124,82.016,91.737,-9.718,73,0.808,57.389,71,0.6899,981,1422,-0.3,-0.297,-21.059,71,58.05%,256,441,0.607,709,1168,0.41876929999999996,1.2566712328767122
Sungjae Im,4.13,429,299.3,49676,166,19,69.839,7218,45.261,1.049,89.164,71.56,17.606,85,0.065,4.873,75,0.6466,966,1494,-0.33,0.133,9.971,75,63.26%,334,528,0.6297999999999999,912,1448,0.4072286799999999,0.8418823529411765
Wyndham Clark,4.11,419,314.0,42082,134,13,69.642,7079,24.505,1.201,103.278,71.439,31.843,86,0.075,4.643,62,0.6534,788,1206,-0.37,0.476,29.497,62,59.81%,250,418,0.5490999999999999,771,1404,0.35878193999999997,0.8306860465116278
Tom Hoge,4.11,427,296.2,53901,182,66,70.567,7270,68.998,0.482,40.93,27.184,13.749,85,0.795,67.572,85,0.6728000000000001,1102,1638,-0.32,0.074,6.28,85,58.96%,316,536,0.5917,855,1445,0.39809576,0.31981176470588235
Chesson Hadley,4.09,384,303.1,31518,104,95,70.917,6568,98.236,0.177,13.781,-16.568,30.353,78,-0.13,-6.618,51,0.6613,619,936,-0.29,0.285,14.541,51,58.68%,186,317,0.5825,766,1315,0.38520725,-0.21241025641025643
Erik van Rooyen,4.08,318,304.2,40762,134,126,71.309,5488,74.114,-0.415,-23.266,-13.83,-9.432,56,0.165,10.242,62,0.6931999999999999,836,1206,-0.31,0.317,19.629,62,57.03%,211,370,0.5806,627,1080,0.40247192,-0.24696428571428572
Harry Hall,4.07,415,298.3,38180,128,88,70.846,7135,91.245,0.149,10.997,-40.66,51.66,74,0.164,9.67,59,0.6536,753,1152,-0.32,0.133,7.827,59,62.91%,251,399,0.54,763,1413,0.352944,-0.5494594594594594
Stephan Jaeger,4.06,495,308.8,42614,138,33,70.185,8462,100.615,0.834,89.268,98.88,-9.606,107,-0.083,-5.228,63,0.6473,804,1242,-0.29,-0.119,-7.523,63,59.13%,259,438,0.5786,979,1692,0.37452778,0.9241121495327103
Nate Lashley,4.06,434,291.3,29133,100,86,70.834,7471,108.265,0.351,29.488,23.249,6.245,84,0.182,8.202,45,0.67,603,900,-0.26,0.127,5.719,45,63.30%,188,297,0.6072,906,1492,0.406824,0.27677380952380953
Brendon Todd,4.05,421,280.4,48798,174,41,70.321,7242,71.42,0.735,63.24,25.306,37.936,86,-0.242,-19.826,82,0.6405,1003,1566,-0.3,0.431,35.349,82,61.28%,345,563,0.6792,991,1459,0.4350276,0.2942558139534884
Lucas Glover,4.04,404,287.6,41992,146,93,70.874,6989,98.369,0.444,35.485,62.975,-27.489,80,0.511,33.748,66,0.6659,875,1314,-0.29,-0.327,-21.602,66,56.26%,247,439,0.6886,962,1397,0.45853874,0.7871875
Ben Griffin,4.04,481,294.7,50691,172,39,70.286,8279,85.077,0.684,61.586,31.563,30.031,90,0.311,23.003,74,0.6815000000000001,1055,1548,-0.29,0.27,19.979,74,63.89%,315,493,0.5603,924,1649,0.38184445000000006,0.3507
Jason Day,4.03,322,300.8,41515,138,23,70.018,5571,30.473,0.855,54.738,33.217,21.522,64,-0.343,-20.232,59,0.6345000000000001,788,1242,-0.33,0.541,31.891,59,63.00%,286,454,0.6167,687,1114,0.39129615000000006,0.519015625
Dylan Wu,4.03,427,294.2,36476,124,61,70.545,7401,76.74,0.595,47.015,20.983,26.037,79,0.366,22.35,61,0.6747,753,1116,-0.29,0.158,9.608,61,60.06%,218,363,0.6045,888,1469,0.40785615000000003,0.2656075949367089
Thomas Detry,4.02,398,303.3,40641,134,55,70.478,6924,53.29,0.328,21.975,4.631,17.346,67,-0.196,-12.736,65,0.6335000000000001,764,1206,-0.32,0.532,34.584,65,60.41%,267,442,0.5781000000000001,796,1377,0.3662263500000001,0.06911940298507463
Carl Yuan,4.02,338,310.2,29775,96,137,71.466,5918,85.144,-0.351,-24.241,-14.047,-10.191,69,-0.063,-2.85,45,0.6308,545,864,-0.26,-0.834,-37.534,45,58.93%,188,319,0.5433,634,1167,0.34271364000000004,-0.20357971014492754
Justin Rose,4.01,273,297.5,36295,122,14,69.693,4740,-0.875,1.193,64.428,42.594,21.837,54,-0.373,-19.795,53,0.633,695,1098,-0.29,0.022,1.161,53,62.53%,252,403,0.6267,591,943,0.39670110000000003,0.7887777777777778
