PLAYER,AVG_Birdies,# OF BIRDIES,AVG_Driv,TOTAL DISTANCE,TOTAL DRIVES,RANK,Avg Score,TOTAL STROKES,TOTAL ADJUSTMENT,AVG_SG:Tot,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,AVG_SGAppr,TOTAL SG:APP,MEASURED ROUNDS_SGAppr,%_GIReg,GREENS HIT,# HOLES,RELATIVE/PAR,AVG_PUT,TOTAL SG:PUTTING,MEASURED ROUNDS_PUT,%_Scram,PAR OR BETTER,MISSED GIR,%_Driv_Acc,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Overall_Acc,AVG_SG_Driv
Scottie Scheffler,4.88,366,303.8,43139,142,1,68.645,5101,47.357,2.496,154.741,148.879,5.864,62,1.269,78.65,62,0.7315999999999999,935,1278,-0.37,0.095,5.864,62,66.18%,227,343,0.669,665,994,0.4894404,2.401274193548387
Sam Burns,4.42,340,307.4,44884,146,13,70.203,5356,49.666,1.003,66.208,33.493,32.716,66,0.173,11.417,66,0.6469,850,1314,-0.37,0.496,32.716,66,60.78%,282,464,0.6162,631,1024,0.39861978,0.507469696969697
Keith Mitchell,4.38,320,311.1,42927,138,9,70.019,5040,71.392,1.024,68.608,92.451,-23.844,67,0.669,44.829,67,0.7061,877,1242,-0.31,-0.356,-23.844,67,60.82%,222,365,0.5782,584,1010,0.40826702,1.379865671641791
Xander Schauffele,4.37,345,308.6,46296,150,2,69.087,5412,45.909,2.068,134.391,98.872,35.519,65,0.7,45.529,65,0.6962999999999999,940,1350,-0.34,0.546,35.519,65,70.49%,289,410,0.6157,644,1046,0.42871191,1.5211076923076923
Collin Morikawa,4.33,325,296.0,44399,150,3,69.751,5201,30.298,1.315,85.478,74.748,10.73,65,0.283,18.399,65,0.6504000000000001,878,1350,-0.34,0.165,10.73,65,65.68%,310,472,0.7056999999999999,741,1050,0.45898728,1.1499692307692309
Michael Kim,4.31,280,302.6,36615,121,72,70.861,4541,64.942,-0.067,-3.493,-7.291,3.796,52,0.132,6.889,52,0.684,751,1098,-0.3,0.073,3.796,52,57.06%,198,347,0.5401,471,872,0.36942840000000005,-0.14021153846153847
Chan Kim,4.3,301,299.4,39524,132,33,70.439,4854,76.741,0.65,37.04,57.04,-20.002,57,0.462,26.354,57,0.6995,831,1188,-0.29,-0.351,-20.002,57,64.99%,232,357,0.6353,615,968,0.44439235,1.0007017543859649
Viktor Hovland,4.28,244,305.1,34780,114,61,70.7,3992,37.884,0.721,37.473,23.48,13.993,52,0.458,23.83,52,0.6784,696,1026,-0.33,0.269,13.993,52,55.15%,182,330,0.6065,484,798,0.4114496,0.45153846153846156
Sungjae Im,4.28,372,299.3,49676,166,28,70.372,6056,66.324,0.769,57.678,47.707,9.971,75,0.065,4.873,75,0.6466,966,1494,-0.33,0.133,9.971,75,63.26%,334,528,0.6362,738,1160,0.41136691999999997,0.6360933333333333
Patton Kizzire,4.27,209,300.9,27380,91,104,71.074,3416,66.617,0.256,10.229,18.103,-7.875,40,0.491,19.635,40,0.721,597,828,-0.3,-0.197,-7.875,40,60.61%,140,231,0.6121,426,696,0.44132409999999994,0.45257500000000006
Wyndham Clark,4.25,302,314.0,42082,134,35,70.444,4942,59.526,1.032,63.954,34.456,29.497,62,0.075,4.643,62,0.6534,788,1206,-0.37,0.476,29.497,62,59.81%,250,418,0.5525,516,934,0.3610035,0.555741935483871
Tony Finau,4.25,353,308.4,48731,158,21,70.332,5787,50.535,1.033,73.363,94.42,-21.059,71,0.808,57.389,71,0.6899,981,1422,-0.3,-0.297,-21.059,71,58.05%,256,441,0.5836,642,1100,0.40262564,1.3298591549295775
Harry Hall,4.25,285,298.3,38180,128,55,70.671,4663,71.935,0.487,28.742,20.914,7.827,59,0.164,9.67,59,0.6536,753,1152,-0.32,0.133,7.827,59,62.91%,251,399,0.5464,483,884,0.35712703999999995,0.35447457627118645
Taylor Pendrith,4.25,319,312.5,44999,144,20,70.279,5224,46.911,0.779,52.215,13.793,38.42,67,0.137,9.193,67,0.662,858,1296,-0.34,0.573,38.42,67,59.36%,260,438,0.564,564,1000,0.373368,0.20586567164179104
Tom Hoge,4.22,401,296.2,53901,182,50,70.627,6629,80.534,0.607,51.565,45.284,6.28,85,0.795,67.572,85,0.6728000000000001,1102,1638,-0.32,0.074,6.28,85,58.96%,316,536,0.6006,764,1272,0.40408368000000006,0.5327529411764705
Nick Dunlap,4.21,282,307.8,38782,126,114,71.225,4724,48.1,-0.24,-14.424,-15.647,1.225,60,0.129,7.768,60,0.6376,723,1134,-0.32,0.02,1.225,60,54.26%,223,411,0.5525,516,934,0.352274,-0.2607833333333333
Byeong Hun An,4.2,315,317.1,47570,150,50,70.627,5251,46.016,0.499,32.957,38.196,-5.24,66,0.181,11.925,66,0.6762999999999999,913,1350,-0.32,-0.079,-5.24,66,58.35%,255,437,0.5333,561,1052,0.36067078999999996,0.5787272727272726
Trace Crowe,4.2,210,299.5,27852,93,98,71.014,3492,58.693,0.122,4.868,-2.582,7.449,40,-0.049,-1.945,40,0.6537000000000001,553,846,-0.33,0.186,7.449,40,59.04%,173,293,0.5807,410,706,0.37960359000000005,-0.06455
